account_id,owner_entity_id,owner_entity_type,account_type,currency,opened_at,status,home_branch,initial_balance,bank_id
ACCT-000001,CUST-000001,CUSTOMER,PAYMENT,VND,2022-11-16T02:59:59Z,ACTIVE,BR-627,74845055,BANK-MBB-003
ACCT-000002,CUST-000002,CUSTOMER,SAVINGS,VND,2025-08-22T08:59:59Z,ACTIVE,BR-107,114092856,BANK-VCB-001
ACCT-000003,CUST-000002,CUSTOMER,PAYMENT,VND,2025-06-19T07:59:59Z,ACTIVE,BR-625,51709926,BANK-VCB-001
ACCT-000004,CUST-000003,CUSTOMER,PAYMENT,VND,2024-07-20T00:59:59Z,ACTIVE,BR-664,32089138,BANK-VPB-005
ACCT-000005,CUST-000003,CUSTOMER,PAYMENT,VND,2023-01-09T10:59:59Z,ACTIVE,BR-588,87745694,BANK-TCB-002
ACCT-000006,CUST-000004,CUSTOMER,PAYMENT,VND,2024-07-22T08:59:59Z,ACTIVE,BR-961,34579693,BANK-VPB-005
ACCT-000007,CUST-000005,CUSTOMER,PAYMENT,VND,2024-11-03T07:59:59Z,ACTIVE,BR-198,10632297,BANK-TCB-002
ACCT-000008,CUST-000006,CUSTOMER,SAVINGS,VND,2020-10-06T00:59:59Z,ACTIVE,BR-854,29866226,BANK-ACB-004
ACCT-000009,CUST-000007,CUSTOMER,PAYMENT,VND,2025-01-01T10:59:59Z,ACTIVE,BR-632,71641146,BANK-VCB-001
ACCT-000010,CUST-000008,CUSTOMER,SAVINGS,VND,2024-04-03T09:59:59Z,ACTIVE,BR-521,21793856,BANK-TCB-002
ACCT-000011,CUST-000008,CUSTOMER,PAYMENT,VND,2024-09-11T11:59:59Z,ACTIVE,BR-729,22273309,BANK-VPB-005
ACCT-000012,CUST-000009,CUSTOMER,PAYMENT,VND,2022-05-28T01:59:59Z,ACTIVE,BR-445,59184143,BANK-ACB-004
ACCT-000013,CUST-000010,CUSTOMER,SAVINGS,VND,2022-11-16T06:59:59Z,ACTIVE,BR-311,31966467,BANK-VCB-001
ACCT-000014,CUST-000010,CUSTOMER,PAYMENT,VND,2025-01-03T03:59:59Z,ACTIVE,BR-433,20531796,BANK-TCB-002
ACCT-000015,CUST-000011,CUSTOMER,SAVINGS,VND,2023-07-07T10:59:59Z,ACTIVE,BR-919,70620401,BANK-ACB-004
ACCT-000016,CUST-000012,CUSTOMER,PAYMENT,VND,2023-08-30T04:59:59Z,ACTIVE,BR-775,71015507,BANK-ACB-004
ACCT-000017,CUST-000013,CUSTOMER,SAVINGS,VND,2021-11-14T07:59:59Z,ACTIVE,BR-871,5876897,BANK-ACB-004
ACCT-000018,CUST-000014,CUSTOMER,PAYMENT,VND,2024-10-23T11:59:59Z,ACTIVE,BR-710,56455426,BANK-TCB-002
ACCT-000019,CUST-000014,CUSTOMER,PAYMENT,VND,2022-04-02T06:59:59Z,ACTIVE,BR-647,49253738,BANK-MBB-003
ACCT-000020,CUST-000015,CUSTOMER,PAYMENT,VND,2025-07-24T02:59:59Z,ACTIVE,BR-989,74807074,BANK-VCB-001
ACCT-000021,CUST-000016,CUSTOMER,PAYMENT,VND,2024-01-23T03:59:59Z,ACTIVE,BR-292,99589717,BANK-VCB-001
ACCT-000022,CUST-000017,CUSTOMER,PAYMENT,VND,2024-10-25T23:59:59Z,ACTIVE,BR-525,5720480,BANK-VPB-005
ACCT-000023,CUST-000018,CUSTOMER,PAYMENT,VND,2024-12-15T06:59:59Z,ACTIVE,BR-538,45469653,BANK-MBB-003
ACCT-000024,CUST-000019,CUSTOMER,PAYMENT,VND,2024-06-23T10:59:59Z,ACTIVE,BR-627,24113941,BANK-VCB-001
ACCT-000025,CUST-000020,CUSTOMER,PAYMENT,VND,2025-09-14T02:59:59Z,ACTIVE,BR-208,79856558,BANK-TCB-002
ACCT-000026,CUST-000021,CUSTOMER,PAYMENT,VND,2024-04-17T04:59:59Z,ACTIVE,BR-386,70714110,BANK-ACB-004
ACCT-000027,CUST-000022,CUSTOMER,PAYMENT,VND,2025-08-20T23:59:59Z,ACTIVE,BR-167,11740849,BANK-MBB-003
ACCT-000028,CUST-000023,CUSTOMER,PAYMENT,VND,2025-05-26T04:59:59Z,ACTIVE,BR-430,199146023,BANK-ACB-004
ACCT-000029,CUST-000024,CUSTOMER,SAVINGS,VND,2024-09-07T08:59:59Z,ACTIVE,BR-658,12071801,BANK-TCB-002
ACCT-000030,CUST-000025,CUSTOMER,PAYMENT,VND,2022-05-23T03:59:59Z,ACTIVE,BR-333,71029534,BANK-VCB-001
ACCT-000031,CUST-000026,CUSTOMER,PAYMENT,VND,2022-09-23T04:59:59Z,ACTIVE,BR-955,182123005,BANK-VPB-005
ACCT-000032,CUST-000027,CUSTOMER,PAYMENT,VND,2025-02-04T02:59:59Z,ACTIVE,BR-126,14445695,BANK-VCB-001
ACCT-000033,CUST-000028,CUSTOMER,PAYMENT,VND,2025-05-13T01:59:59Z,ACTIVE,BR-959,64798742,BANK-ACB-004
