ownership_id,owner_entity_id,owner_entity_type,owned_company_id,ownership_percentage,effective_from,effective_to,source_document_id,verified
OWN-000001,CUST-000839,CUSTOMER,COMP-000001,48.94,2018-10-28,,DOC-002002,true
OWN-000002,CUST-000838,CUSTOMER,COMP-000001,17.81,2018-10-28,,DOC-002002,true
OWN-000003,CUST-001148,CUSTOMER,COMP-000001,33.25,2018-10-28,,DOC-002002,true
OWN-000004,CUST-001322,CUSTOMER,COMP-000002,72.95,2019-04-06,,DOC-002004,true
OWN-000005,CUST-000436,CUSTOMER,COMP-000002,27.05,2019-04-06,,DOC-002004,true
OWN-000006,CUST-001378,CUSTOMER,COMP-000003,100.0,2023-09-05,,DOC-002006,true
OWN-000007,CUST-001672,CUSTOMER,COMP-000004,93.65,2019-02-16,,DOC-002008,true
OWN-000008,CUST-000179,CUSTOMER,COMP-000004,6.35,2019-02-16,,DOC-002008,true
OWN-000009,CUST-001522,CUSTOMER,COMP-000005,100.0,2022-04-14,,DOC-002010,true
OWN-000012,CUST-000621,CUSTOMER,COMP-000007,49.24,2025-10-03,,DOC-002014,true
OWN-000013,CUST-001720,CUSTOMER,COMP-000007,29.48,2025-10-03,,DOC-002014,true
OWN-000014,CUST-000107,CUSTOMER,COMP-000007,21.28,2025-10-03,,DOC-002014,true
OWN-000017,CUST-001573,CUSTOMER,COMP-000009,100.0,2021-03-09,,DOC-002018,true
OWN-000018,CUST-000049,CUSTOMER,COMP-000010,100.0,2020-10-20,,DOC-002020,true
OWN-000019,CUST-000608,CUSTOMER,COMP-000011,44.74,2019-06-04,,DOC-002022,true
OWN-000020,CUST-000288,CUSTOMER,COMP-000011,21.14,2019-06-04,,DOC-002022,true
OWN-000021,CUST-001631,CUSTOMER,COMP-000011,34.12,2019-06-04,,DOC-002022,true
OWN-000025,CUST-001039,CUSTOMER,COMP-000013,83.7,2011-08-08,,DOC-002026,true
OWN-000026,CUST-000877,CUSTOMER,COMP-000013,9.44,2011-08-08,,DOC-002026,true
OWN-000027,CUST-001674,CUSTOMER,COMP-000013,6.86,2011-08-08,,DOC-002026,true
OWN-000028,CUST-001088,CUSTOMER,COMP-000014,18.87,2016-10-26,,DOC-002028,true
OWN-000029,CUST-001694,CUSTOMER,COMP-000014,72.23,2016-10-26,,DOC-002028,true
OWN-000030,CUST-001539,CUSTOMER,COMP-000014,8.9,2016-10-26,,DOC-002028,true
OWN-000031,CUST-001651,CUSTOMER,COMP-000015,100.0,2016-09-19,,DOC-002030,true
OWN-000033,CUST-000304,CUSTOMER,COMP-000017,84.69,2010-01-06,,DOC-002034,true
OWN-000034,CUST-001383,CUSTOMER,COMP-000017,15.31,2010-01-06,,DOC-002034,true
OWN-000037,CUST-000772,CUSTOMER,COMP-000019,100.0,2018-12-28,,DOC-002038,true
OWN-000038,CUST-000586,CUSTOMER,COMP-000020,100.0,2021-03-10,,DOC-002040,true
OWN-000039,CUST-000312,CUSTOMER,COMP-000021,94.26,2025-11-02,,DOC-002042,true
OWN-000040,CUST-001853,CUSTOMER,COMP-000021,5.74,2025-11-02,,DOC-002042,true
OWN-000041,CUST-001361,CUSTOMER,COMP-000022,79.08,2013-04-14,,DOC-002044,true
OWN-000042,CUST-001610,CUSTOMER,COMP-000022,8.85,2013-04-14,,DOC-002044,true
OWN-000043,CUST-000259,CUSTOMER,COMP-000022,12.07,2013-04-14,,DOC-002044,true
OWN-000044,CUST-000517,CUSTOMER,COMP-000023,100.0,2012-08-17,,DOC-002046,true
OWN-000047,CUST-001717,CUSTOMER,COMP-000025,100.0,2022-10-16,,DOC-002050,true
OWN-000048,CUST-001951,CUSTOMER,COMP-000026,89.25,2016-12-08,,DOC-002052,true
OWN-000049,CUST-000320,CUSTOMER,COMP-000026,5.03,2016-12-08,,DOC-002052,true
OWN-000050,CUST-001482,CUSTOMER,COMP-000026,5.72,2016-12-08,,DOC-002052,true
OWN-000051,CUST-001892,CUSTOMER,COMP-000027,28.44,2012-08-02,,DOC-002054,true
OWN-000052,CUST-000718,CUSTOMER,COMP-000027,71.56,2012-08-02,,DOC-002054,true
OWN-000053,CUST-001806,CUSTOMER,COMP-000028,88.7,2018-02-28,,DOC-002056,true
OWN-000054,CUST-001317,CUSTOMER,COMP-000028,11.3,2018-02-28,,DOC-002056,true
OWN-000055,CUST-000111,CUSTOMER,COMP-000029,22.07,2025-12-06,,,false
OWN-000056,CUST-001889,CUSTOMER,COMP-000029,77.93,2025-12-06,,,false
OWN-000058,CUST-000138,CUSTOMER,COMP-000031,100.0,2013-08-21,,DOC-002061,true
OWN-000059,CUST-001160,CUSTOMER,COMP-000032,100.0,2015-03-06,,DOC-002063,true
OWN-000064,CUST-001950,CUSTOMER,COMP-000035,88.58,2019-11-02,,DOC-002069,true
OWN-000065,CUST-001488,CUSTOMER,COMP-000035,6.1,2019-11-02,,DOC-002069,true
OWN-000066,CUST-000265,CUSTOMER,COMP-000035,5.32,2019-11-02,,DOC-002069,true
OWN-000070,CUST-001578,CUSTOMER,COMP-000038,62.48,2013-10-18,,DOC-002075,true
OWN-000071,CUST-000147,CUSTOMER,COMP-000038,29.09,2013-10-18,,DOC-002075,true
OWN-000072,CUST-001726,CUSTOMER,COMP-000038,8.43,2013-10-18,,DOC-002075,true
OWN-000073,CUST-000718,CUSTOMER,COMP-000039,64.21,2010-11-17,,DOC-002077,true
OWN-000074,CUST-001749,CUSTOMER,COMP-000039,15.41,2010-11-17,,DOC-002077,true
OWN-000075,CUST-001911,CUSTOMER,COMP-000039,20.38,2010-11-17,,DOC-002077,true
OWN-000077,CUST-001471,CUSTOMER,COMP-000041,100.0,2018-03-26,,DOC-002081,true
OWN-000078,CUST-000968,CUSTOMER,COMP-000042,51.45,2011-05-12,,DOC-002083,true
