relationship_id,source_entity_id,target_entity_id,relationship_type,valid_from,valid_to,source,confidence
REL-000001,CUST-000906,COMP-000001,UBO,2017-05-01,,kyc_file,0.95
REL-000002,CUST-001674,COMP-000002,UBO,2012-12-11,,kyc_file,0.95
REL-000003,CUST-000830,COMP-000002,SHAREHOLDER,2012-12-11,,kyc_file,0.95
REL-000004,CUST-001920,COMP-000002,UBO,2012-12-11,,kyc_file,0.95
REL-000005,CUST-000416,COMP-000003,UBO,2023-11-27,,kyc_file,0.95
REL-000006,CUST-000908,COMP-000004,SHAREHOLDER,2022-06-28,,kyc_file,0.95
REL-000007,CUST-001805,COMP-000004,UBO,2022-06-28,,kyc_file,0.95
REL-000008,CUST-001895,COMP-000005,UBO,2014-10-01,,kyc_file,0.95
REL-000009,CUST-001182,COMP-000005,UBO,2014-10-01,,kyc_file,0.95
REL-000010,CUST-001181,COMP-000005,UBO,2014-10-01,,kyc_file,0.95
REL-000011,CUST-001692,COMP-000006,SHAREHOLDER,2017-07-24,,kyc_file,0.95
REL-000012,CUST-000068,COMP-000006,UBO,2017-07-24,,kyc_file,0.95
REL-000013,CUST-000690,COMP-000007,UBO,2010-02-19,,kyc_file,0.95
REL-000015,CUST-000404,COMP-000009,UBO,2015-04-11,,kyc_file,0.95
REL-000016,CUST-001262,COMP-000010,UBO,2011-02-13,,kyc_file,0.95
REL-000017,CUST-000557,COMP-000010,SHAREHOLDER,2011-02-13,,kyc_file,0.95
REL-000018,CUST-001995,COMP-000010,SHAREHOLDER,2011-02-13,,kyc_file,0.95
REL-000019,CUST-001894,COMP-000011,UBO,2021-06-04,,kyc_file,0.95
REL-000020,CUST-000451,COMP-000012,UBO,2016-02-04,,kyc_file,0.95
REL-000021,CUST-000627,COMP-000012,SHAREHOLDER,2016-02-04,,kyc_file,0.95
REL-000022,CUST-000100,COMP-000012,UBO,2016-02-04,,kyc_file,0.95
REL-000023,CUST-000755,COMP-000013,UBO,2016-02-13,,kyc_file,0.95
REL-000024,CUST-001385,COMP-000013,SHAREHOLDER,2016-02-13,,kyc_file,0.95
REL-000025,CUST-000475,COMP-000013,UBO,2016-02-13,,kyc_file,0.95
REL-000026,CUST-001628,COMP-000014,UBO,2025-10-17,,incomplete_kyc,0.4
REL-000027,CUST-001004,COMP-000014,UBO,2025-10-17,,incomplete_kyc,0.4
REL-000028,CUST-000601,COMP-000015,UBO,2023-04-18,,kyc_file,0.95
REL-000029,CUST-000694,COMP-000015,SHAREHOLDER,2023-04-18,,kyc_file,0.95
REL-000030,CUST-001168,COMP-000015,SHAREHOLDER,2023-04-18,,kyc_file,0.95
REL-000031,CUST-001099,COMP-000016,UBO,2014-03-18,,kyc_file,0.95
REL-000032,CUST-000466,COMP-000016,UBO,2014-03-18,,kyc_file,0.95
REL-000033,CUST-000777,COMP-000016,SHAREHOLDER,2014-03-18,,kyc_file,0.95
REL-000034,CUST-001189,COMP-000017,UBO,2011-11-26,,kyc_file,0.95
REL-000035,CUST-001685,COMP-000017,SHAREHOLDER,2011-11-26,,kyc_file,0.95
REL-000036,CUST-001077,COMP-000017,SHAREHOLDER,2011-11-26,,kyc_file,0.95
REL-000037,CUST-001533,COMP-000018,UBO,2011-05-22,,kyc_file,0.95
REL-000038,CUST-000127,COMP-000018,SHAREHOLDER,2011-05-22,,kyc_file,0.95
REL-000039,CUST-001201,COMP-000018,SHAREHOLDER,2011-05-22,,kyc_file,0.95
REL-000040,CUST-001226,COMP-000019,UBO,2020-10-20,,kyc_file,0.95
REL-000041,CUST-000799,COMP-000019,UBO,2020-10-20,,kyc_file,0.95
REL-000042,CUST-001079,COMP-000020,SHAREHOLDER,2016-04-20,,kyc_file,0.95
REL-000043,CUST-001568,COMP-000020,UBO,2016-04-20,,kyc_file,0.95
REL-000044,CUST-001778,COMP-000020,SHAREHOLDER,2016-04-20,,kyc_file,0.95
REL-000045,CUST-001968,COMP-000021,UBO,2010-06-14,,kyc_file,0.95
REL-000046,CUST-000266,COMP-000021,SHAREHOLDER,2010-06-14,,kyc_file,0.95
REL-000047,CUST-001231,COMP-000022,UBO,2025-11-30,,kyc_file,0.95
REL-000048,CUST-001283,COMP-000023,UBO,2023-11-01,,kyc_file,0.95
REL-000049,CUST-000659,COMP-000024,UBO,2025-11-21,,incomplete_kyc,0.4
REL-000050,CUST-000284,COMP-000024,SHAREHOLDER,2025-11-21,,incomplete_kyc,0.4
REL-000051,CUST-001846,COMP-000025,UBO,2021-02-13,,kyc_file,0.95
REL-000052,CUST-001555,COMP-000026,UBO,2013-06-25,,kyc_file,0.95
REL-000053,CUST-000105,COMP-000027,UBO,2019-01-15,,kyc_file,0.95
REL-000054,CUST-001180,COMP-000028,UBO,2013-01-10,,kyc_file,0.95
REL-000055,CUST-001411,COMP-000028,SHAREHOLDER,2013-01-10,,kyc_file,0.95
REL-000056,CUST-001629,COMP-000028,UBO,2013-01-10,,kyc_file,0.95
REL-000057,CUST-000104,COMP-000029,SHAREHOLDER,2025-10-19,,kyc_file,0.95
REL-000058,CUST-001357,COMP-000029,UBO,2025-10-19,,kyc_file,0.95
REL-000059,CUST-000971,COMP-000030,SHAREHOLDER,2010-08-09,,kyc_file,0.95
REL-000060,CUST-000115,COMP-000030,UBO,2010-08-09,,kyc_file,0.95
REL-000061,CUST-001954,COMP-000030,SHAREHOLDER,2010-08-09,,kyc_file,0.95
REL-000062,CUST-001810,COMP-000031,UBO,2015-06-19,,kyc_file,0.95
REL-000063,CUST-001717,COMP-000032,UBO,2011-09-17,,kyc_file,0.95
REL-000064,CUST-000694,COMP-000033,UBO,2010-05-05,,kyc_file,0.95
REL-000065,CUST-001792,COMP-000033,SHAREHOLDER,2010-05-05,,kyc_file,0.95
REL-000066,CUST-001884,COMP-000033,UBO,2010-05-05,,kyc_file,0.95
REL-000067,CUST-000427,COMP-000034,SHAREHOLDER,2022-11-11,,kyc_file,0.95
REL-000068,CUST-000082,COMP-000034,UBO,2022-11-11,,kyc_file,0.95
REL-000069,CUST-001047,COMP-000035,UBO,2025-11-11,,kyc_file,0.95
REL-000070,CUST-001075,COMP-000036,UBO,2023-05-10,,kyc_file,0.95
REL-000071,CUST-001505,COMP-000036,SHAREHOLDER,2023-05-10,,kyc_file,0.95
REL-000072,CUST-000556,COMP-000037,UBO,2018-04-01,,kyc_file,0.95
REL-000073,CUST-000459,COMP-000037,SHAREHOLDER,2018-04-01,,kyc_file,0.95
REL-000074,CUST-000047,COMP-000038,UBO,2015-10-21,,kyc_file,0.95
REL-000075,CUST-000598,COMP-000038,UBO,2015-10-21,,kyc_file,0.95
REL-000076,CUST-001088,COMP-000039,UBO,2020-03-04,,kyc_file,0.95
REL-000077,CUST-001067,COMP-000039,SHAREHOLDER,2020-03-04,,kyc_file,0.95
REL-000078,CUST-000481,COMP-000039,UBO,2020-03-04,,kyc_file,0.95
REL-000079,CUST-000234,COMP-000040,UBO,2025-11-24,,kyc_file,0.95
REL-000080,CUST-001910,COMP-000040,SHAREHOLDER,2025-11-24,,kyc_file,0.95
REL-000081,CUST-000899,COMP-000040,SHAREHOLDER,2025-11-24,,kyc_file,0.95
REL-000082,CUST-001409,COMP-000041,UBO,2025-10-31,,kyc_file,0.95
REL-000083,CUST-000602,COMP-000042,UBO,2016-07-25,,kyc_file,0.95
REL-000084,CUST-001463,COMP-000042,UBO,2016-07-25,,kyc_file,0.95
REL-000085,CUST-001988,COMP-000042,SHAREHOLDER,2016-07-25,,kyc_file,0.95
REL-000086,CUST-001646,COMP-000043,SHAREHOLDER,2016-12-08,,kyc_file,0.95
REL-000087,CUST-001047,COMP-000043,UBO,2016-12-08,,kyc_file,0.95
REL-000088,CUST-001059,COMP-000043,UBO,2016-12-08,,kyc_file,0.95
REL-000089,CUST-001280,COMP-000044,UBO,2014-10-26,,kyc_file,0.95
REL-000090,CUST-001315,COMP-000044,UBO,2014-10-26,,kyc_file,0.95
REL-000091,CUST-001412,COMP-000044,SHAREHOLDER,2014-10-26,,kyc_file,0.95
REL-000092,CUST-000173,COMP-000045,UBO,2020-05-04,,kyc_file,0.95
REL-000093,CUST-000250,COMP-000046,UBO,2010-10-15,,kyc_file,0.95
REL-000094,CUST-001815,COMP-000046,UBO,2010-10-15,,kyc_file,0.95
REL-000095,CUST-001576,COMP-000046,UBO,2010-10-15,,kyc_file,0.95
REL-000096,CUST-000411,COMP-000047,SHAREHOLDER,2022-10-25,,kyc_file,0.95
REL-000097,CUST-001595,COMP-000047,UBO,2022-10-25,,kyc_file,0.95
REL-000098,CUST-000801,COMP-000048,UBO,2016-04-01,,kyc_file,0.95
REL-000099,CUST-001639,COMP-000048,SHAREHOLDER,2016-04-01,,kyc_file,0.95
REL-000100,CUST-000419,COMP-000049,UBO,2025-11-28,,kyc_file,0.95
REL-000101,CUST-001104,COMP-000049,UBO,2025-11-28,,kyc_file,0.95
REL-000102,CUST-001997,COMP-000049,UBO,2025-11-28,,kyc_file,0.95
REL-000103,CUST-000125,COMP-000050,UBO,2011-01-20,,kyc_file,0.95
REL-000104,COMP-000037,COMP-000005,PARENT_COMPANY,2014-10-01,,kyc_file,0.9
REL-000105,CUST-000527,COMP-000005,SHAREHOLDER,2014-10-01,,kyc_file,0.9
REL-000106,COMP-000048,COMP-000013,PARENT_COMPANY,2016-02-13,,kyc_file,0.9
REL-000107,CUST-001470,COMP-000013,SHAREHOLDER,2016-02-13,,kyc_file,0.9
REL-000108,COMP-000050,COMP-000015,PARENT_COMPANY,2023-04-18,,kyc_file,0.9
REL-000109,CUST-001957,COMP-000015,SHAREHOLDER,2023-04-18,,kyc_file,0.9
REL-000110,COMP-000004,COMP-000027,PARENT_COMPANY,2019-01-15,,kyc_file,0.9
REL-000111,CUST-000927,COMP-000027,SHAREHOLDER,2019-01-15,,kyc_file,0.9
REL-000112,COMP-000023,COMP-000028,PARENT_COMPANY,2013-01-10,,kyc_file,0.9
REL-000113,CUST-001778,COMP-000028,SHAREHOLDER,2013-01-10,,kyc_file,0.9
REL-000114,COMP-000050,COMP-000032,PARENT_COMPANY,2011-09-17,,kyc_file,0.9
REL-000115,CUST-001994,COMP-000032,SHAREHOLDER,2011-09-17,,kyc_file,0.9
REL-000116,COMP-000004,COMP-000033,PARENT_COMPANY,2010-05-05,,kyc_file,0.9
REL-000117,CUST-000671,COMP-000033,SHAREHOLDER,2010-05-05,,kyc_file,0.9
REL-000118,COMP-000001,COMP-000036,PARENT_COMPANY,2023-05-10,,kyc_file,0.9
REL-000119,CUST-001258,COMP-000036,SHAREHOLDER,2023-05-10,,kyc_file,0.9
REL-000120,COMP-000010,COMP-000044,PARENT_COMPANY,2014-10-26,,kyc_file,0.9
REL-000121,CUST-000318,COMP-000044,SHAREHOLDER,2014-10-26,,kyc_file,0.9
REL-000122,COMP-000016,COMP-000047,PARENT_COMPANY,2022-10-25,,kyc_file,0.9
