transaction_id,source_account_ref,source_account_type,source_bank_id,destination_account_ref,destination_account_type,destination_bank_id,amount,currency,transaction_type,channel,purpose_code,description,occurred_at,direction,source_ip,device_id,is_cross_border,source_country,destination_country,data_visibility,evidence_source,payment_reference
TXN-00000001,ACCT-SHB-000689,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-001635,INTERNAL_SHB,BANK-SHB-001,1456803,VND,TRANSFER,BRANCH,CASH_OUT,CASH_OUT-126431,2025-10-03T00:03:13Z,INTERNAL,10.3.170.140,DEV-00000585,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-34215109
TXN-00000002,EXT-ACC-000445,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-000874,INTERNAL_SHB,BANK-SHB-001,2061875,VND,TRANSFER,MOBILE,RENT,INBOUND-934812,2025-10-03T00:06:27Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-92878871
TXN-00000003,EXT-ACC-000618,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-001415,INTERNAL_SHB,BANK-SHB-001,9649925,VND,TRANSFER,MOBILE,INVOICE,INBOUND-739803,2025-10-03T00:09:42Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-78709506
TXN-00000004,ACCT-SHB-000483,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000213,INTERNAL_SHB,BANK-SHB-001,3209493,VND,TRANSFER,MOBILE,UTILITIES,UTILITIES-775673,2025-10-03T00:12:56Z,INTERNAL,10.214.39.24,DEV-00000409,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-83785342
TXN-00000005,ACCT-SHB-000373,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000792,EXTERNAL,BANK-ACB-EXT,3000144,VND,TRANSFER,MOBILE,PAYMENT,OUTBOUND-866718,2025-10-03T00:16:10Z,OUTBOUND,10.174.36.40,DEV-00000315,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-19779530
TXN-00000006,ACCT-SHB-000487,INTERNAL_SHB,BANK-SHB-001,EXT-ACC-000042,EXTERNAL,BANK-MBB-EXT,2345557,VND,TRANSFER,MOBILE,PAYMENT,OUTBOUND-822448,2025-10-03T00:19:25Z,OUTBOUND,10.215.192.223,DEV-00000413,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-12033232
TXN-00000007,EXT-ACC-000909,EXTERNAL,BANK-VPB-EXT,ACCT-SHB-000864,INTERNAL_SHB,BANK-SHB-001,1675541,VND,TRANSFER,BRANCH,UTILITIES,INBOUND-817086,2025-10-03T00:22:39Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-42473528
TXN-00000008,EXT-ACC-000006,EXTERNAL,BANK-ACB-EXT,ACCT-SHB-001344,INTERNAL_SHB,BANK-SHB-001,6231829,VND,TRANSFER,INTERNET,TRANSFER,INBOUND-292104,2025-10-03T00:25:54Z,INBOUND,,,false,VN,VN,PAYMENT_MESSAGE_ONLY,PAYMENT_MESSAGE,PAYREF-38750502
TXN-00000009,ACCT-SHB-001376,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-002046,INTERNAL_SHB,BANK-SHB-001,5100639,VND,TRANSFER,MOBILE,RENT,RENT-337259,2025-10-03T00:29:08Z,INTERNAL,10.149.56.52,DEV-00001161,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-20077260
TXN-00000010,ACCT-SHB-002318,INTERNAL_SHB,BANK-SHB-001,ACCT-SHB-000581,INTERNAL_SHB,BANK-SHB-001,4907320,VND,TRANSFER,MOBILE,TRANSFER,TRANSFER-743162,2025-10-03T00:32:22Z,INTERNAL,10.62.249.50,DEV-00001953,false,VN,VN,FULL_INTERNAL,SHB_TRANSACTION_LEDGER,PAYREF-24810541
