transaction_id,amount,is_cross_border,is_suspicious,source_txn_count_1h,source_txn_amount_1h,source_txn_count_24h,source_txn_amount_24h,dest_txn_count_1h,dest_txn_amount_1h,dest_txn_count_24h,dest_txn_amount_24h,dest_pass_through_ratio_1h,ip_sharing_count_1h,device_sharing_count_1h,source_owner_type,source_owner_age,source_owner_income,source_owner_risk,source_initial_balance,source_account_age_days,source_bank_risk_score,source_doc_rejected_or_missing,source_in_watchlist,dest_owner_type,dest_owner_age,dest_owner_income,dest_owner_risk,dest_initial_balance,dest_account_age_days,dest_bank_risk_score,dest_doc_rejected_or_missing,dest_in_watchlist,has_relationship,mismatch_cross_border_source,mismatch_cross_border_dest,mismatch_country_source,mismatch_country_dest,amt_to_expected_outflow_ratio_source,amt_to_expected_inflow_ratio_dest
TXN-00040018,10938395,False,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,39.898699520876114,428505390.0,0,69865087.0,1132,5.0,0,0,0,0,0,0,0,0.0,0.3063222654864005
TXN-00040176,160750744,False,0,1,10938395.0,1,10938395.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,56.21081451060917,373290894.0,1,83209259.0,225,5.0,1,0,0,0,0,0,0,0.0,5.167575716447705
TXN-00040174,197657301,False,0,2,171689139.0,2,171689139.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,23.104722792607802,397512263.0,2,27838631.0,304,5.0,0,0,0,0,0,0,0,0.0,5.966828946947778
TXN-00040172,136463562,False,0,3,369346440.0,3,369346440.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,51.578370978781656,583769790.0,0,90822038.0,536,5.0,0,0,0,0,0,0,0,0.0,2.8051516006522186
TXN-00040170,197812133,False,0,4,505810002.0,4,505810002.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,28.903490759753595,302532913.0,1,12569481.0,995,5.0,0,0,0,0,0,0,0,0.0,7.846239208512957
TXN-00040168,164450256,False,0,5,703622135.0,5,703622135.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,38.22861054072553,357791809.0,1,82313305.0,212,5.0,0,0,0,0,0,0,0,0.0,5.515506581972945
TXN-00040166,866031607,False,0,6,868072391.0,6,868072391.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,1,14.04517453798768,636181700.0,0,22844999.0,1478,5.0,0,0,0,0,0,0,0,0.0,1.3612960055279804
TXN-00040164,965190769,False,0,7,1734103998.0,7,1734103998.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,1,14.702258726899384,8000000000.0,0,1118230834.0,4775,5.0,0,0,0,0,0,0,0,0.0,0.120648846125
TXN-00040128,1571984840,False,0,8,2699294767.0,8,2699294767.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,1,4.952772073921971,10000000000.0,0,3544000033.0,549,5.0,0,0,0,0,0,0,0,0.0,0.157198484
TXN-00040178,127001231,False,0,9,4271279607.0,9,4271279607.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,58.2943189596167,547264997.0,2,97127868.0,519,5.0,0,0,0,0,0,0,0,0.0,2.7847839607471183
TXN-00040040,39944124,False,0,10,4398280838.0,10,4398280838.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,31.534565366187543,137329452.0,1,58933262.0,484,5.0,0,0,0,0,0,0,0,0.0,3.490361907218562
TXN-00040036,86369899,False,0,11,4438224962.0,11,4438224962.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,42.85010266940452,293719869.0,1,12469286.0,38,5.0,0,0,0,0,0,0,0,0.0,3.5286643129953825
TXN-00040034,65381050,False,0,12,4524594861.0,12,4524594861.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,22.64476386036961,170417600.0,0,43080929.0,100,5.0,0,0,0,0,0,0,0,0.0,4.603823999578635
TXN-00040032,31219961,False,0,13,4589975911.0,13,4589975911.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,67.5728952772074,341149156.0,0,56167738.0,91,5.0,0,0,0,0,0,0,0,0.0,1.098169319207336
TXN-00040030,55528324,False,0,14,4621195872.0,14,4621195872.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,20.66803559206023,126207148.0,0,24714373.0,839,5.0,0,0,0,0,0,0,0,0.0,5.27973193023051
TXN-00040028,93054591,False,0,15,4676724196.0,15,4676724196.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,28.04928131416838,404630827.0,0,22519820.0,1047,5.0,0,0,0,0,0,0,0,0.0,2.759688676211071
TXN-00040026,51154307,False,0,16,4769778787.0,16,4769778787.0,0,0.0,0,0.0,0.0,0,0,1,,0.0,0,0.0,0,17.79,0,0,0,64.55030800821355,214222399.0,0,54178597.0,253,5.0,0,0,0,0,0,0,0,0.0,2.8654879551526995
